identity,species,common_name,origin,country,viable_seed_per_kg,availability,uses
ST/18/09,Acacia angustissima,Acacia Primavera,"Santa Rosa, El Rosario",Honduras,"95,314",limited,ZA- FN -L
ST/05/08,Acacia angustissima,Acacia Primavera,Siguatepeque,Honduras,"85,000",limited,ZA- FN -L
ST/84/99,Acacia auriculiformis,Acacia,Midanpur,La India,"37,311",limited,ZB-L
ST/15/97,Acacia decurrens,Acacia,La India,La India,"52,636",,
ST/28/09,Acacia mangium,Mangium,La Ceiba,Honduras,"75,125",in stock,ZB-M-O
ST/12/06,Acacia mangium,Mangium,Ojo de Agua,Honduras,"85,985",in stock,ZB-M-O
ST/21/06,Acacia mangium,Mangium,La Ceiba,Honduras,"83,045",in stock,ZB-M-O
ST/80/99,Acacia mangium,Mangium,Midampur,India,"81,549",in stock,ZB-M-O
ST/34/11,Acrocarpus fraxinifolious,Cedro de la India,Conoor Dehra Dun,La India,"27,240",in stock,ZA-M-SC
ST/76/95,Albizzia falcataria,Paladran,Nueva Delhi,La India,"40,436",limited,ZB-L
,Albizzia guachepele,Carreto Real,Yucul,Nicaragua,"19,127",limited,ZB-M
,Alvaradoa amorphoides,Zorro,"Santa Rosa, El Rosario",Honduras,"89,089",in stock,ZB-L-O
ST/23/11,Anacardium occidentalis,Marañon,Choluteca,Honduras,118,in stock,ZB-F
,Anacardium excelsium,Espavel,Choluteca,Honduras,400,,ZB-M-PC
,Andira inermis,Almendro de rio,Comayagua,Honduras,136,,ZB-PC
,Annona muricata,Guanábana,Jesús de Otoro,Honduras,"2,465",,ZA-F
ST/44/05,Annona sguamosa,Anona,La Esperanza,Honduras,"2,400",,ZA-F
,Astronium graveolens,Ron ron / Gateado,Acoyapa,Costa Rica,"24,003",in stock,ZB-M
,Azadirachta indica,Neem,Comayagua,Honduras,"2,774",in stock,ZB-M-Md.-O
ST/16/08,Bauhinia monandra,Casco de Vaca,Siguatepeque,Honduras,"3,846",in stock,ZB-O
ST/33/11,Bombacopsis quinatum,Cedro Espino,Rivas,Nicaragua,"30,943",in stock,ZB-M
ST/61/08,Byrsonima crassifolia,Nance,"Santa Rosa, El Rosario",Honduras,"4,047",in stock,ZB-F
,Cajanus cajan,Gandul,"El Porvenir, Siguatepeque",Honduras,"9,003",in stock,ZB-FN-Com.
,Canavalia ensiformis,Terciopelo,El Zamorano,Honduras,670,limited,ZB-FN
,Coffee arabica,Café,Siguatepeque,Honduras,"2,252",in stock,ZA-Ali.-O
,Caffe catimor,Cafe,Santa Clara,Honduras,"2,000",in stock,ZA-Ali.-O
ST/16/11,Calliandra calothyrsus,Caliandra,Villa Alicia,Honduras,"18,490",in stock,ZB-ZA-FN-L
ST/38/08,Cassia fistula,Caña fistula,San Pedro Sula,Honduras,"4,271",in stock,ZB-Md.-O
ST/35/11,Cassia fistula,Caña fistula,San Pedro Sula,Honduras,"4,271",in stock,ZB-Md.-O
ST/41/99,Cassia grandis,Carao,Choluteca,Honduras,"1,905",in stock,ZB-Mo.-O
ST/41/11,Cassia grandis,Carao,Choluteca,Honduras,"1,905",in stock,ZB-Mo.-O
ST/67/08,Cassia siamea,Acacia Amarilla,La Ceiba,Honduras,"32,000",in stock,ZB-FN-O-Mf.-L
ST/53/02,Caesalpinea tintorea,Nacascolo,Oropoli,Honduras,"12,898",in stock,ZB-M-Cur.
ST/32/99,Caesalpinea eryostachys,Pintadillo,Choluteca,Honduras,"4,907",in stock,ZB-M
ST/43/06,Casuarina cunninghamiana,Pino Australiano,La Paz,Honduras,"628,135",in stock,ZB-ZA-O-BRV
ST/20/11,Cedrela odorata,Cedro Amargo,Meambar,Honduras,"54,119",in stock,ZB-M
ST/21/11,Cedrela odorata,Cedro Amargo,Taulabe,Honduras,"58,481",in stock,ZB-M
ST/22/11,Cedrela odorata,Cedro Amargo,Santa Barbara,Honduras,"57,977",in stock,ZB-M
,Ceiba penthandra,Ceiba,Santa Barbara,Honduras,"9,706",in stock,ZB-O-Som.
,Chrysalidocarpus lutescens,Palmera Areca,Siguatepeque,Honduras,"2,151",in stock,ZB-O
ST/15/10,Cordia alliodora,Laurel,Santa Cruz de Yojoa,Honduras,"43,000",in stock,ZB-M
,Cordia gerascanthus,Laurel Negro,Cane,Honduras,"14,909",in stock,ZB-M
ST/25/09,Cordia megalantha,Laurel Blanco,La Masica,Honduras,"91,495",,
,Cordia bicolor,Laurel / Sombra de Ternero,La Cumbre,Honduras,"65,230",,
ST/25/01,Crescentia alata,Morro,Choluteca,Honduras,"17,973",in stock,ZB-O-Com.
ST/09/09,Cupressus lusitanica,Cipres,Siguatepeque,Honduras,"65,895",in stock,ZA-O
ST/24/11,Cupressus lusitanica,Cipres,Siguatepeque,Honduras,"86,870",in stock,ZA-O
ST/07/12,Cupressus serpenvirens /Piramydale,Cipres romano,Italia,Europa,"41,685",,ZA-ZB-O
,Cupressus macrocarpa,Cipres,Namora,Perú,"132,000",limited,ZA-ZB-O
ST/33/09,Cybistax donnell smithii,San Juan Primavera,San Pedro Sula,Honduras,"135,752",in stock,ZB-O-M
ST/23/04,Cybistax donnell smithii,San Juan Primavera,San Pedro Sula,Honduras,"169,690",in stock,ZB-O-M
,Dalbergia latifolia,Granadillo,Dehra Dun,India,"3,240",in stock,ZB-M
,Dalbergia sissoo,Granadillo,Canberra,Australia,"18,000",limited,ZB-M
,Dalbergia retusa,Granadillo Negro / Funera Roja,Siguatepeque,Honduras,"13,158",in stock,ZB-M
,Dalbergia tucurensis,Granadillo Rojo,Santa Cruz de Yojoa,Honduras,"30,226",limited,ZB-M
ST/28/08,Dalbergia s.p.,Junera,Santa Rosa El Rosario,Honduras,"22,785",,
ST/34/01,Dolichos lablab,Frijol Dolico,El Socorro,Honduras,"3,025",in stock,ZB-FN
ST/21/04,Delonix regia,Acacia Roja,Comayagua,Honduras,"1,971",in stock,ZB-O
ST/22/01,Delonix regia,Acacia Roja,Comayagua,Honduras,"1,971",in stock,ZB-O
ST/27/08,Delonix regia,Acacia Roja,Comayagua,Honduras,"1,971",in stock,ZB-O
ST/26/08,Enterolobium cyclocarpum,Guanacaste,Comayagua,Honduras,"1,025",in stock,ZB-M-O
ST/27/05,Enterolobium cyclocarpum,Guanacaste,Comayagua,Honduras,"1,025",in stock,ZB-M-O
ST/40/11,Erythrina glauca,Pito,Lago de Yojoa,Honduras,"2,600",in stock,
ST/29/06,Eucalyptus camaldulensis,Eucalipto,"La Soledad,Comayagua",Honduras,"260,000",in stock,ZB-M-L
ST/91/98,Eucalyptus citriodora,Eucalipto,Comayagua,Honduras,"139,746",in stock,ZB-M
ST/62/08,Eucalyptus cinerea,Eucalipto,Cleveland,Australia,"188,000",in stock,ZB-ZA-O
ST/18/01ST/07/99,Eucalyptus deglupta,Eucalipto,Juan Viñas,Costa Rica,"625,000",limited,ZA-SC-M
ST/19/01,Eucalyptus glóbulos,Eucalipto,Plusil,Costa Rica,"300,000",in stock,ZA-M
ST/60/08,Eucalyptus grandis,Eucalipto,Agalteca,Honduras,"600,000",in stock,ZA-M
ST/107/95,Eucalyptus robusta,Eucalipto,Guatemala,Guatemala,"1.062,000",,
ST/43/12,Eucalyptus urophylla x grandis,Eucalipto urograndis,Sao Paulo,Brasil,,in stock,
ST/19/09ST/20/09ST/31/09,Gliricidia sepium,Madreado,Oropoli,Honduras,"7,689",limited,ZB-FN-L-O
ST/13/09,Gmelina arborea,Melina,La Lima,Honduras,"1,124",in stock,ZB-M
ST/44/11,Grevillea robusta,Gravilea,Dehra Dun,India,"48,899",in stock,ZA-Mf.-O
ST/50/97,Guayacum officinalis,Guayacan,Comayagua,Honduras,"4,629",in stock,ZB-M
ST/54/99,Guazuma ulmifolia,Caulote,Comayagua,Honduras,"104,153",in stock,ZB-L
ST/39/08ST/41/00,Hymenea courbaril,Guapinol,Oropoli,Honduras,236,limited,ZB-PC-Ali.
,Hieronyma alchomeoides S.P.,Pilon / Rosita,Terraba,Costa Rica,"138,858",limited,ZB-M
ST/12/09,Jacaranda mimosifolia,Jacaranda,"Sambrano, Fco. Morazán",Honduras,"74,800",in stock,ZB-ZA-O
ST/59/08ST/58/08,Jatropa curcas,Piñon,"Lepaguare, Olancho",Honduras,"1,510",,ZB-CV-Md.-
ST/44/09,Juglans olanchanus,Nogal,Santa Barbara,Honduras,40,,
ST/42/11,Khaya senegalensis,Caoba Africana,Guenon,"B.F., Africa","5,138",in stock,ZB-M
,Khaya ivorensis,Caoba Africana,,,,,
ST/17/06ST/06/03ST/07/08ST/19/07,Leucaena leucocephalla,Leucaena / Guaje,Comayagua,Honduras,"17,661",in stock,ZB-FN-L-M
,Leucaena salvadorensis,Leucaena / Sipia,Comayagua,Honduras,"8,919",in stock,ZB-FN-L-M
ST/38/02ST/30/99,Leucaena colinsii,Leucaena,Comayagua,Honduras,"19,716",in stock,ZB-FN-L
ST/63/08ST/57/08,Liquidambar styraciflua,Liquidambar,Los Alpes,Honduras,"218,892",in stock,ZA-Som.-M-Ind.
,Lixiloma devaricata,Quebracho,Oropolí,Honduras,"19,092",in stock,ZB-M-L
ST/29/08,Lonchocarpus rugosus,Cincho,Santa Cruz de Yojoa,Honduras,"11,062",in stock,ZB-L-Som.
ST/46/06,Mauria sessiflora,Tontol,"Santa Rosa, El Rosario",Honduras,691,,
ST/07/07,Melia azederach,Paraizo,Siguatepeque,Honduras,"2,280",in stock,ZB-O-L
ST/07/03,Mimosa tenuifuolia,Carbon Rojo,Comayagua,Honduras,"74,976",limited,ZB-L
ST/12/96,Mimosa scabrella,Bracatinga,Bocaiuva do Soul,Brasil,"43,927",limited,ZB-L
ST/2012,Moringa oleifera,Moringa,Choluteca,Honduras,"4,377",in stock,ZB-Md.
ST/10/10,Mucuna pruriens,Frijol Blanco,Choluteca,Honduras,"1,028",in stock,ZB-FN
ST/18/11,Ochroma lagopus,Balsa,Tela,Honduras,"107,184",in stock,ZB-M-Som.
ST/29/11,Parkinsonia aculeata,Pino Real,Oropolí,Honduras,"7,810",in stock,ZB-L
ST/31/08,Perimenium strigillosum,Tatascan,La Esperanza,Honduras,"300,000",in stock,ZA-M-Mf.-O
ST/45/11,Phoenix roebelenii,Palmera Fénix,Siguatepeque,Honduras,"7,545",,
ST/67/99,Pterocarpus officinalis,Palo de Sangre,Tela,Honduras,"1,237",in stock,ZB-M
ST/29/95,Pithecellobium longifolium,Zota de Caballo,El Rosario,Honduras,"26,951",in stock,ZB-Som.
ST/54/02ST/33/00,Pithecellobium dulce,Rojo,Oropoli,Honduras,"8,034",in stock,ZB-L
,Pinus ayacahuite,Pino Blanco,Guajiquiro,Honduras,"17,000",in stock,ZA-M
ST/100/95,Pinus caribaea,Pino caribe,Norada Nova,Brasil,"22,000",in stock,ZB-M
ST/28/96,Pinus caribaea,Pino hondurensis,La Mosquitia,Honduras,"34,300",in stock,ZB-M
ST/63/96,Pinus caribaea,Pino hondurensis,Limon,Honduras,"37,233",in stock,ZB-M
ST/64/96,Pinus caribaea,Pino hondurensis,La Brea,Honduras,"35,495",in stock,ZB-M
ST/26/10,Pinus caribaea,Pino hondurensis,Ojo de Agua,Honduras,"43,180",in stock,ZB-M
